Castle Point Apartments | Apartment Complex | 18011 Cleveland Rd. | South Bend | IN | 46637 | 5742728110 | http://cppj.com/
Clover Ridge | Apartment Complex | 1801 Irish Way | South Bend | IN | 46637 | 5742721441 | http://cloverridgeapartments.com/
Clover Village | Apartment Complex | 1710 Turtle Creek Dr. | South Bend | IN | 46637 | 5742728124 | http://www.clovervillageapartments.com/
Irish Row | Apartment Complex | 1855 Vaness St. | South Bend | IN | 46637 | 5742776666 | http://irishrowapartments.com/
Ivy Quad | Apartment Complex | 54578 Twyckenham Dr. | South Bend | IN | 46556 | 5746074271  | http://www.ivyquad.com/
Notre Dame Apartments | Apartment Complex | 832 Notre Dame Ave. | South Bend | IN | 46617 | 8668281126 | 
Oak Hill Condominiums | Apartment Complex | 1720 South Bend Ave. | South Bend | IN | 46637 | 5742771997 | 
Stadium Club | Apartment Complex | 18127 Bulla Rd. | South Bend | IN | 46637 | 5742437530 | http://www.ndstadiumclub.com
Legacy Village | Apartment Complex | McErlain St. | South Bend | IL | 46637 | 6306553223 | http://rwdcampusdevelopments.com/index.php?m=11
Dublin Village | Apartment Complex | 198 Kent St. | South Bend | IN | 46637 | 5749680112 | http://www.cooreman.com/dublinvillage/index.php4
Wexford Place | Apartment Complex | 54738 Willis St | South Bend | IN | 46637 | 5749680112 | http://www.cooreman.com/wexfordplace/index.php4
Georgetown Apartments | Apartment Complex | 4315 Wimbleton Court | South Bend | IN | 46637 | 5743431677 | http://www.georgetownapartmenthomes.com/
Irish Crossings | Apartment Complex | 54669 Irish Crossings Ln. | South Bend | IN | 46637 | 5742732000 | http://irishcrossings.com/
The Foundry Lofts & Apartments | Apartment Complex | 1233 N. Eddy St., Suite 106 | South Bend | IN | 46617 | 5742321400 | http://www.foundryliving.com/
