Mulligan's Bar & Grill | Bar | 1705 South Bend Ave. | South Bend | IN | 46637 | 5742775666 | http://www.mulliganssouthbend.com/
Brother's Bar & Grill | Bar | 1234 N. Eddy St. | South Bend | IN | 46617 | 5742872767 | http://www.brothersbar.com/ 
Bleachers Sports Bar & Grill | Bar | 4609 Grape Rd. | Mishawaka | IN | 46545 | 5742779332 | 
Madison Oyster Bar | Bar | 129 N. Main St. | South Bend | IN | 46601 | 5742883776 | 
Corby's Irish Pub | Pub | 441 E. Lasalle Ave. | South Bend | IN | 46617 | 5742335326 | 
Linebacker Lounge | Bar | 1631 South Bend Ave. | South Bend | IN | 46617 | 5742890186 | http://www.backer-nd.com/
Cheers Pub | Pub | 103 S. Dixie Way | South Bend | IN | 46637 | 5743874642 | 
O'Rourke's Public House | Bar | 1044 E. Angela Blvd | South Bend | IN | 46617 | 5742510355 | http://www.orourkespubhouse.com/
Sean O'Caseys' Irish Pub | Pub | 123 N. Saint Joseph St. | South Bend | IN | 46601 | 5742457280 | 
Fiddler's Hearth | Pub | 127 N. Main St. | South Bend | IN | 46601 | 5742322853 | http://www.fiddlershearth.com/
Center Street Pub | Pub | 112 N. Center St. | Mishawaka | IN | 46544 | 5749680244 | 
CJ's Pub | Pub | 236 S. Michigan St. | South Bend | IN | 46601 | 5742335981 | http://cjs-pub.com/
Corndance Tavern | Bar | 4725 Grape Rd. | Mishawaka | IN | 46545 | 5742177584 | http://mishawaka.corndance.com/
Peddler's Pub | Pub | 904 E. Ireland Rd. | South Bend | IN | 46614 | 5742919192 | 
Tilted Kilt Pub & Eatery | Pub | 1032 E. University Dr. | Granger | IN | 46530 | 5742725458 | http://southbend.tiltedkilt.com/
The Blarney Stone (Finny's) | Bar | 113 Wayne St. | South Bend | IN | 46601 | 
Agave53 | Bar | 119 N. Michigan St. | South Bend | IN | 46601 | 5742329464 | http://agave53.com/
McCormick's Coney Island | Bar | 125 N. Michigan St. | South Bend | IN | 46601 | 5742898031 | 
Backstage Grill | Bar | 222 S. Michigan St. | South Bend | IN | 46601 | 5742320222 | http://backstagesouthbend.com/default.aspx
East Bank Emporium | Bar | 121 S. Niles Ave. | South Bend | IN | 46601 | 5742349000 | http://www.eastbankemporium.com/
Frank's Place | Bar | 327 W. Marion St. | South Bend | IN | 46601 | 5742322277 | 
LaSalle Grill | Bar | 115 W. Colfax Ave. | South Bend | IN | 46601 | 5742881155 | http://www.lasallegrill.com/
The Cellar Door | Bar | 211 W. Washington St. | South Bend | IN | 46601 | 5743232120 | 
The View Tavern | Bar | 515 E. Jefferson Boulevard | South Bend | IN | 46601 | 5742888439 | 
The Vine | Bar | 103 W. Colfax Ave. | South Bend | IN | 46601| 5742349463 | http://www.thevinesb.com/
Golden Gnome | Bar | 1902 South Bend Ave. | South Bend | IN | 46637 | 5742776651 | http://golden-gnome.com/
