LaFortune Student Center | Student Center | God Quad | Notre Dame | IN | 46556 | | http://lafortune.nd.edu/
Washington Hall | Theater | God Quad | Notre Dame | IN | 46556 | | http://performingarts.nd.edu/washingtonhall/
DeBartolo Performing Arts Center | Theater | DeBartolo Quad | Notre Dame | IN | 46556 | | http://performingarts.nd.edu/
Theodore M. Hesburgh Library | Library | Library Quad | Notre Dame | IN | 46556 | | http://www.library.nd.edu/
Stepan Center | Other | University of Notre Dame | Notre Dame | IN | 46556 | | http://safacilities.nd.edu/stepan/
Notre Dame Stadium | Stadium | University of Notre Dame | Notre Dame | IN | 46556 | | http://www.und.com/facilities/nd-stadium.html
Joyce Center (JACC) | Arena | University of Notre Dame | Notre Dame | IN | 46556 | | http://recsports.nd.edu/facilities/joyce-center/
Alumni Stadium | Stadium | University of Notre Dame | Notre Dame | IN | 46556 | | http://www.und.com/facilities/alumni-stadium.html
Arlotta Stadium | Stadium | University of Notre Dame | Notre Dame | IN | 46556 | | http://www.und.com/facilities/arlotta-stadium.html
Frank Eck Stadium | Stadium | University of Notre Dame | Notre Dame | IN | 46556 | | http://www.und.com/facilities/frank-eck-stadium.html
Melissa Cook Stadium | Stadium | University of Notre Dame | Notre Dame | IN | 46556 | | http://www.und.com/facilities/melissa-cook-stadium.html
Rolfs Sports and Recreation Center | Gym | University of Notre Dame | Notre Dame | IN | 46556 | | http://recsports.nd.edu/facilities/rolfs-sports-rec-center/
Knute Rockne Memorial | Gym | University of Notre Dame | Notre Dame | IN | 46556 | | http://recsports.nd.edu/facilities/rockne-memorial/
Guglielmino Athletics Complex | Gym | University of Notre Dame | Notre Dame | IN | 46556 | | http://www.und.com/facilities/guglielmino-complex.html
Loftus Sports Center | Gym | University of Notre Dame | Notre Dame | IN | 46556 | | http://www.und.com/facilities/nd-loftuscenter.html
Compton Family Ice Arena | Arena | University of Notre Dame | Notre Dame | IN | 46556 | | http://recsports.nd.edu/facilities/compton-family-ice-arena/
Legends of Notre Dame | Restaurant | University of Notre Dame | Notre Dame | IN | 46556 | | http://legendsofnotredame.org/
South Dining Hall | Dining Hall | South Quad | Notre Dame | IN | 46556 | | http://food.nd.edu/places-to-eat/dining-halls/south-dining-hall-menu/
North Dining Hall | Dining Hall | North Quad | Notre Dame | IN | 46556 | | http://food.nd.edu/places-to-eat/dining-halls/menus/
