Cafe Navarre | Restaurant | 101 N. Michigan St. | South Bend | IN | 46601 | 5749688101 | http://www.cafenavarre.co
Carmela's at Macri's | Restaurant | 214 N. Niles Ave. | South Bend | IN | 46601 | 5742804824 | http://macrisbakery.com/carmelas
LePeep | Restaurant | 127 S. Michigan St. | South Bend | IN | 46601 | 5742887337 | http://www.lepeep.com
South Bend Chocolate Cafe | Restaurant | 122 S. Michigan St. | South Bend | IN | 46601 | 5742870725 | http://www.sbchocolate.com
Siam Thai | Restaurant | 211 N. Main St. | South Bend | IN | 46601 | 5742324445 | http://www.eatmoreTHAI.com
Sunny Italy Cafe | Restaurant | 601 N. Niles Ave. | South Bend | IN | 46601 | 5742329620 | http://www.sunnyitalycafe.com
Tippecanoe Place | Restaurant | 620 W. Washington St.| South Bend | IN | 46601 | 5742349077 | http://www.tippe.com
Bonefish Grill | Restaurant | 620 W. Edison Rd. | Mishawaka | IN | 46545 | 5742592663 | http://www.bonefishgrill.com/
Between the Buns | Restaurant | 1803 South Bend Ave. | South Bend | IN | 46637 | 5742479293 | http://betweenthebuns.com/  
Between the Buns | Restaurant | 3417 Lincolnway E. | Mishawaka | IN | 46544 | 5742594820 | http://betweenthebuns.com/  
Outback Steakhouse | Restaurant | 4611 Grape Rd. | Mishawaka | IN | 46545 | 5742712333 | http://outback.com/restaurant/locations/IN/Mishawaka/South-Bend/index.aspx
Famous Dave's | Restaurant | 6402 Grape Rd. | Mishawaka | IN | 46545 | 5742771888 | http://www.famousdaves.com/Mishawaka
Granite City Food & Brewery | Restaurant | 6501 Grape Rd. | Mishawaka | IN | 46545 | 5742430900 | http://www.gcfb.net/locations_IN_Mishawaka.aspx
Applebee's Neighborhood Grill | Restaurant | 1150 E. Ireland Rd. | South Bend | IN | 46614 | 5742918522 | http://www.applebees.com/
Applebee's Neighborhood Grill | Restaurant | 3703 Portage Rd. | South Bend | IN | 46628 | 5742772640 | http://www.applebees.com/ 
T.G.I. Friday's | Restaurant | 1240 E. Ireland Rd. | South Bend | IN | 46614 | 5742919070 | http://www.tgifridays.com/
T.G.I. Friday's | Restaurant | 4730 Grape Rd | Mishawaka | IN | 46545 | 5742718443 | http://www.tgifridays.com/
Bar Louie | Restaurant | 6501 Grape Rd. | Mishawaka | IN | 46545 | 5742779100 | http://www.barlouieamerica.com/ 
Buffalo Wild Wings | Restaurant | 4343 Grape Rd. | Mishawaka | IN | 46545 |5742729464 | http://www.buffalowildwings.com/  
Buffalo Wild Wings | Restaurant | 123 W Washington St. | South Bend | IN | 46601 | 5742322293 | http://www.buffalowildwings.com/
